Time,HR,RR
61.78973984718323,69,[1041],9
63.32329487800598,69,[986],159
64.32416725158691,69,[817],55
64.33085989952087,69,[817],169
65.32094025611877,68,[1013],0
66.32018899917603,67,[986],196
67.31672620773315,67,[1023],27
67.32619571685791,66,[864],37
68.31387257575989,65,[939],159
69.31122708320618,65,[939],75
70.3080997467041,64,[939],0
71.30405759811401,64,[919],0
71.31252479553223,64,[929],20
72.30698132514954,64,[919],10
73.30260443687439,63,[844],10
74.30029320716858,63,[844],75
75.29657316207886,64,[882],0
75.30574178695679,64,"[939, 929]",38
