Time,HR,RR
111.26542615890503,69,0
112.7573013305664,69,0
113.75123071670532,69,0
113.75743246078491,70,0
114.74916958808899,71,0
115.7472083568573,72,0
116.74538540840149,72,0
117.74546551704407,72,0
117.75796818733215,72,0
118.74311256408691,71,0
120.73346900939941,70,0
120.73773789405823,69,0
121.73195195198059,69,0
121.73735237121582,69,0
122.72878360748291,69,0
123.7268557548523,69,0
124.72436213493347,69,0
125.72307252883911,68,0
125.72993564605713,68,0
126.7190682888031,68,0
127.7182023525238,68,0
128.71398401260376,67,0
130.70753359794617,67,0
130.71204018592834,67,0
130.7165789604187,67,0
131.70833587646484,67,0
132.7031111717224,67,0
133.70389890670776,68,0
133.7089762687683,68,0
134.70890522003174,68,0
135.69812035560608,68,0
136.69532895088196,68,0
137.69353675842285,68,0
137.70348119735718,68,[600],0
138.69188976287842,69,"[817, 873]",0
139.68982648849487,69,[835],217
140.68655562400818,69,[835],18
141.6848440170288,69,[835],0
141.69437837600708,69,[817],0
142.68535137176514,70,[769],18
143.68186926841736,71,[760],48
144.67861580848694,71,"[797, 807]",9
145.67450737953186,71,"[797, 807]",37
145.68643188476562,72,[854],0
146.67170023918152,72,[807],57
147.6687273979187,72,[826],47
148.66779565811157,73,[722],19
149.6710467338562,73,[789],104
149.6835401058197,73,[789],67
150.6685757637024,73,"[807, 807]",0
151.6653335094452,73,[901],18
152.65732216835022,73,[789],94
153.65452766418457,73,[779],112
153.66463947296143,72,[844],10
154.65443468093872,72,[844],65
155.65059423446655,71,[826],0
156.64875411987305,72,"[817, 760]",18
157.64793467521667,72,[760],9
158.64670848846436,72,[722],57
158.66195130348206,74,[713],38
159.64266443252563,74,[713],9
160.6388430595398,74,[1577],0
161.6350646018982,75,[722],0
162.63511323928833,75,[817],0
162.64670133590698,75,[695],95
163.6312062740326,76,"[713, 750]",122
164.62851977348328,76,"[713, 750]",18
165.624897480011,76,[966],0
166.62292671203613,76,[911],0
166.63115787506104,76,[901],55
167.61724400520325,75,0
168.6192467212677,75,[1061],0
169.61508870124817,75,[1061],0
170.61440563201904,74,[1135],0
170.62328815460205,73,[891],74
171.61059021949768,72,[976],244
172.60942482948303,70,[948],85
173.6032955646515,70,[826],28
175.59785342216492,70,[826],122
175.60740184783936,69,[958],0
175.61485528945923,68,[948],132
176.59704971313477,67,"[817, 986]",10
177.59646320343018,66,[779],131
178.59241223335266,65,[835],38
178.59943962097168,65,[835],56
179.58830165863037,66,[1004],0
180.58546710014343,66,[891],169
181.58750700950623,67,[817],113
183.57789874076843,67,[976],74
183.5845296382904,66,[966],159
183.5901563167572,66,[966],10
184.57813382148743,66,[986],0
185.57399797439575,66,[882],20
186.5724971294403,67,[826],104
186.5769591331482,68,0
187.57005333900452,67,[1474],0
189.56524562835693,67,[1474],0
189.57320189476013,66,[1088],0
190.56038093566895,66,[958],0
190.56822872161865,65,[760],130
191.55939745903015,65,"[826, 573]",198
192.55667233467102,65,[760],66
193.55380201339722,65,[760],66
194.55074214935303,65,[1230],0
194.55784726142883,66,[722],0
195.54798364639282,66,[939],0
196.5461823940277,67,[844],217
197.5431842803955,67,[1446],95
198.54092073440552,67,[1446],0
198.5474021434784,66,[1080],0
199.5356204509735,65,0
200.5363531112671,64,[1474],0
201.53286862373352,63,[958],0
