Time,HR,RR,HRV
309.7168161869049,65,[882],122
311.20752596855164,65,[882],29
312.2053530216217,65,[1126],0
314.2001118659973,66,"[582, 835]",244
315.1982958316803,66,[873],0
315.2051508426666,66,[844],0
315.2101619243622,66,[891],29
315.213365316391,66,[891],47
316.1934928894043,66,[911],0
317.19330310821533,66,[750],20
318.19192242622375,66,[911],161
319.18852138519287,66,[911],161
319.1937053203583,67,[789],0
320.185911655426,67,[789],122
321.1830110549927,67,[891],0
322.18082332611084,67,[939],102
324.17586064338684,67,[1088],48
324.18010687828064,68,"[797, 488]",149
324.1838290691376,68,[958],0
